id_pay,id_order,dim_status,dim_type,m_amount,date_created
182927106,146040452,ACCEPTED,CB_SANS_CONTACT,38.0,2020-10-08 18:30:51
84592212,64769266,ACCEPTED,SUMUP,35.0,2019-03-22 20:41:33
94889118,73140926,ACCEPTED,CB_SANS_CONTACT,12.1,2019-05-18 21:02:09
61129096,45722621,ACCEPTED,AMERICAN_EXPRESS,43.5,2018-10-17 21:03:44
152146522,120132717,ACCEPTED,VOUCHER,-1.4,2020-02-24 11:20:19
22346565,15342026,ACCEPTED,CARTE TICKET RESTAURANT,13.9,2017-10-27 11:49:40
93032793,71670522,ACCEPTED,CB_SANS_CONTACT,13.2,2019-05-09 10:06:23
66462310,50054231,ACCEPTED,UBER EATS,47.5,2018-11-23 22:06:05
151139224,119299870,ACCEPTED,CB_SANS_CONTACT,29.0,2020-02-19 21:26:13
131001630,102832211,ACCEPTED,CB_SANS_CONTACT,13.9,2019-11-12 13:00:54
184497609,147341601,ACCEPTED,CB_SANS_CONTACT,16.7,2020-10-17 11:21:49
132506046,104066188,ACCEPTED,CB_SANS_CONTACT,26.0,2019-11-19 19:18:08
148065482,116791195,ACCEPTED,VOUCHER,-0.1,2020-02-06 11:06:58
126227566,98932168,ACCEPTED,CB_SANS_CONTACT,44.0,2019-10-19 21:00:36
132312072,103905816,ACCEPTED,BANK_CHECK,83.5,2019-11-18 18:34:25
50474123,37337772,ACCEPTED,AMERICAN_EXPRESS,39.0,2018-08-02 18:52:33
101777273,78845001,ACCEPTED,SUMUP,47.0,2019-06-22 20:30:46
180110927,143706215,ACCEPTED,VOUCHER,-0.1,2020-09-23 10:20:45
146556458,115563414,ACCEPTED,VOUCHER,-7.3,2020-01-30 12:01:27
120963822,94609622,ACCEPTED,CB_SANS_CONTACT,15.4,2019-09-26 11:48:10
137607947,108185268,ACCEPTED,CB_SANS_CONTACT,19.5,2019-12-13 23:57:47
177139397,141200541,ACCEPTED,CB_SANS_CONTACT,20.5,2020-09-08 11:36:11
25850468,17895049,ACCEPTED,CB_SANS_CONTACT,17.8,2017-12-16 23:32:17
99909379,77297013,ACCEPTED,CB_SANS_CONTACT,30.5,2019-06-14 11:54:09
154216154,121807251,ACCEPTED,CB_SANS_CONTACT,35.5,2020-03-04 21:29:48
183611869,146614807,ACCEPTED,VOUCHER,-6.5,2020-10-12 11:23:24
183007172,146116788,ACCEPTED,SIOUPLAIT,10.9,2020-10-09 10:09:48
181886125,145161556,ACCEPTED,CB_SANS_CONTACT,24.6,2020-10-02 18:15:53
