id_order,id_store,id_waiter,id_device,date_opened,date_closed,dim_status,dim_source,m_nb_customer,m_cached_payed,m_cached_price
145108341,8291,26319.0,15760.0,2020-10-02 11:06:05,2020-10-02 11:06:40,CLOSED,Tiller order,1,16.5,16.5
145556921,8291,17650.0,15758.0,2020-10-05 11:25:05,2020-10-05 11:25:11,CLOSED,Tiller order,1,10.9,10.9
112213211,2035,2753.0,5949.0,2020-01-10 17:12:06,2020-01-10 17:12:25,CLOSED,Tiller iPAD,2,4.4,4.4
112805625,4803,8257.0,8270.0,2020-01-14 11:44:23,2020-01-14 11:44:33,CLOSED,Tiller order,2,22.0,22.0
49357771,6008,10990.0,11065.0,2018-11-17 18:46:21,2018-11-17 18:46:29,CLOSED,Tiller iPAD,1,30.0,30.0
50016359,6008,10990.0,11065.0,2018-11-23 17:26:05,2018-11-23 17:52:43,CLOSED,Tiller iPAD,1,47.9,47.9
1412318,2035,2753.0,716.0,2016-05-31 07:59:23,2016-05-31 07:59:32,CLOSED,Tiller iPAD,1,1.2,1.2
2266701,1513,2464.0,424.0,2016-08-05 20:24:49,2016-08-05 21:36:04,CLOSED,Tiller iPAD,2,42.0,42.0
20123019,1513,2464.0,424.0,2018-01-27 11:55:15,2018-01-27 12:47:56,CLOSED,Tiller iPAD,5,89.5,89.5
95130064,5860,10411.0,10625.0,2019-09-28 17:13:08,2019-09-28 18:22:13,CLOSED,Tiller iPAD,2,57.5,57.5
63774164,1513,2464.0,424.0,2019-03-15 21:15:23,2019-03-15 22:58:52,CLOSED,Tiller iPAD,6,124.75,124.75
63849872,6830,12894.0,13026.0,2019-03-16 13:01:10,2019-03-16 13:02:52,CLOSED,Tiller iPAD,2,33.0,33.0
51139476,6827,14302.0,13022.0,2018-12-03 12:16:05,2018-12-03 12:58:50,CLOSED,Tiller iPAD,1,33.4,33.4
114950193,1513,2464.0,424.0,2020-01-26 12:11:23,2020-01-26 18:52:09,CLOSED,Tiller iPAD,2,19.35,19.35
115436793,6008,25250.0,11065.0,2020-01-29 16:16:14,2020-01-29 16:16:35,CLOSED,Tiller order,1,52.0,52.0
81754825,360,472.0,129.0,2019-07-10 10:29:50,2019-07-10 12:08:52,CLOSED,Tiller iPAD,2,51.6,51.6
37402585,6827,14302.0,13022.0,2018-08-03 11:12:12,2018-08-03 11:12:40,CLOSED,Tiller iPAD,1,19.8,19.8
3114533,2035,2752.0,3064.0,2016-10-06 07:51:00,2016-10-06 07:51:16,CLOSED,Tiller iPAD,0,1.2,1.2
3700584,730,1095.0,755.0,2016-11-07 20:07:42,2016-11-07 21:35:21,CLOSED,Tiller iPAD,2,36.0,36.0
